Id,Label
1,52.3
2,46.5
3,62.2
4,112.5
5,247.8
6,327.3
7,340.5
8,321.2
9,164.6
10,62.3
11,42.9
12,47.5
13,43.1
14,47.9
15,47.7
16,45.9
17,40.5
18,41.7
19,33.2
20,23.5
21,26.1
22,36.5
23,46.9
24,47.9
25,43.4
26,46.5
27,40.9
28,40.5
29,44.5
30,54.3
31,50.6
32,49.2
33,41.3
34,40.5
35,40.3
36,42.0
37,47.7
38,60.9
39,41.4
40,33.8
41,33.5
42,33.2
43,42.3
44,48.4
45,57.8
46,63.5
47,79.0
48,88.9
49,122.5
50,116.4
51,105.7
52,59.3
53,60.4
54,59.5
55,58.8
56,54.4
57,49.2
58,36.2
59,63.4
60,96.0
61,248.9
62,418.2
63,380.1
64,94.4
65,104.7
66,58.1
67,55.2
68,51.5
69,53.7
70,59.7
71,66.5
72,66.5
73,90.2
74,152.3
75,194.3
76,192.1
77,281.3
78,151.6
79,103.7
80,219.5
81,153.7
82,150.4
83,184.8
84,92.4
85,84.1
86,89.7
87,113.9
88,280.7
89,200.8
90,85.6
91,59.7
92,48.3
93,58.5
94,48.7
95,43.5
96,36.1
97,33.2
98,36.8
99,50.3
100,55.9
101,41.9
102,44.4
103,55.3
104,125.6
105,218.2
106,330.6
107,329.1
108,238.5
109,112.2
110,96.7
111,95.0
112,127.6
113,46.8
114,43.3
115,48.1
116,51.2
117,56.7
118,52.3
119,58.2
120,58.5
121,59.1
122,52.3
123,50.5
124,50.3
125,50.9
126,51.6
127,58.2
128,57.1
129,43.2
130,33.8
131,35.0
132,33.0
133,40.3
134,63.3
135,49.9
136,48.6
137,42.8
138,47.4
139,41.6
140,40.8
141,42.0
142,43.4
143,48.1
144,48.5
145,41.3
146,32.0
147,24.0
148,30.4
149,27.9
150,40.8
151,47.2
152,55.9
153,50.1
154,42.3
155,41.5
156,46.9
157,41.5
158,43.1
159,47.6
160,48.9
161,48.4
162,39.4
163,31.7
164,23.4
165,24.6
166,23.8
167,44.8
168,48.2
169,48.8
170,40.9
171,42.5
172,46.7
173,43.2
174,47.9
175,48.9
176,48.9
177,41.3
178,41.0
179,44.4
180,29.0
181,26.5
182,42.5
183,36.1
184,46.3
185,80.2
186,155.0
187,104.6
188,80.0
189,62.4
190,60.7
191,56.0
192,50.7
193,50.6
194,40.4
195,227.2
196,311.5
197,303.8
198,315.0
199,359.2
200,368.0
201,277.9
202,98.9
203,94.1
204,117.4
205,92.9
206,81.8
207,88.3
208,82.9
209,55.5
210,58.9
